report_id,user_id,lat,lon,date,catch_outcome,species,free_text_note
REP-2026-2001,USR-5043,15.3492,73.6047,2026-09-04,Zero Catch,None,No fish activity observed in this sector.
REP-2026-2002,USR-5016,10.0831,79.483,2026-09-07,Zero Catch,None,No fish activity observed in this sector.
REP-2026-2003,USR-5006,9.9994,79.5802,2026-08-24,Moderate Catch,Prawns / Shrimp (Penaeus monodon),"Water was unusually warm, fish found deeper."
REP-2026-2004,USR-5021,12.8213,74.7381,2026-09-06,Moderate Catch,Cuttlefish (Sepia pharaonis),Strong currents made trawling difficult today.
REP-2026-2005,USR-5028,17.5812,83.299,2026-08-25,Moderate Catch,Oil Sardine (Sardinella longiceps),Strong currents made trawling difficult today.
REP-2026-2006,USR-5027,10.0189,79.4707,2026-08-29,Low Catch,Prawns / Shrimp (Penaeus monodon),"Water was unusually warm, fish found deeper."
REP-2026-2007,USR-5048,12.8403,74.6298,2026-09-04,Low Catch,Kingfish / Surmai (Scomberomorus commerson),"Water was unusually warm, fish found deeper."
REP-2026-2008,USR-5018,17.6749,83.4089,2026-09-06,Low Catch,Pomfret (Pampus argenteus),Strong currents made trawling difficult today.
REP-2026-2009,USR-5033,12.7687,74.6348,2026-08-24,Low Catch,Pomfret (Pampus argenteus),High wave activity; returned early to harbor.
REP-2026-2010,USR-5026,9.8969,76.0972,2026-09-05,High Catch,Indian Mackerel (Rastrelliger kanagurta),Strong currents made trawling difficult today.
REP-2026-2011,USR-5003,9.9644,76.1459,2026-08-30,High Catch,Cuttlefish (Sepia pharaonis),Strong currents made trawling difficult today.
REP-2026-2012,USR-5007,15.3352,73.652,2026-08-27,Moderate Catch,Prawns / Shrimp (Penaeus monodon),Heavy sardine catch using purse seine.
REP-2026-2013,USR-5013,18.7729,72.6579,2026-09-02,High Catch,Oil Sardine (Sardinella longiceps),Strong currents made trawling difficult today.
REP-2026-2014,USR-5028,18.7855,72.7064,2026-08-26,Zero Catch,None,No fish activity observed in this sector.
REP-2026-2015,USR-5049,9.8863,76.1942,2026-09-03,High Catch,Prawns / Shrimp (Penaeus monodon),High wave activity; returned early to harbor.
REP-2026-2016,USR-5042,18.8633,72.701,2026-09-04,Zero Catch,None,No fish activity observed in this sector.
REP-2026-2017,USR-5046,17.6107,83.3861,2026-08-29,Low Catch,Pomfret (Pampus argenteus),Strong currents made trawling difficult today.
REP-2026-2018,USR-5003,15.3716,73.6883,2026-09-07,Zero Catch,None,No fish activity observed in this sector.
REP-2026-2019,USR-5024,12.917,74.6756,2026-08-26,Zero Catch,None,No fish activity observed in this sector.
REP-2026-2020,USR-5025,9.9739,76.1913,2026-08-30,Zero Catch,None,No fish activity observed in this sector.
REP-2026-2021,USR-5033,18.8672,72.6786,2026-09-04,Zero Catch,None,No fish activity observed in this sector.
REP-2026-2022,USR-5047,15.4217,73.5742,2026-09-06,Zero Catch,None,No fish activity observed in this sector.
REP-2026-2023,USR-5009,18.8236,72.5879,2026-09-05,Low Catch,Cuttlefish (Sepia pharaonis),High wave activity; returned early to harbor.
REP-2026-2024,USR-5014,18.9223,72.6194,2026-09-06,Moderate Catch,Indian Mackerel (Rastrelliger kanagurta),"Water was unusually warm, fish found deeper."
REP-2026-2025,USR-5008,9.9622,79.4608,2026-08-28,Moderate Catch,Kingfish / Surmai (Scomberomorus commerson),"Water was unusually warm, fish found deeper."
REP-2026-2026,USR-5009,12.83,74.5997,2026-08-25,Moderate Catch,Kingfish / Surmai (Scomberomorus commerson),Low yield due to rough seas.
REP-2026-2027,USR-5046,18.803,72.637,2026-08-25,High Catch,Pomfret (Pampus argenteus),"Water was unusually warm, fish found deeper."
REP-2026-2028,USR-5040,9.9274,79.4441,2026-09-02,Low Catch,Indian Mackerel (Rastrelliger kanagurta),Spotted large school near thermal boundary.
REP-2026-2029,USR-5028,15.4413,73.7453,2026-08-31,Low Catch,Cuttlefish (Sepia pharaonis),Spotted large school near thermal boundary.
REP-2026-2030,USR-5012,17.5275,83.433,2026-08-26,Low Catch,Pomfret (Pampus argenteus),Low yield due to rough seas.
REP-2026-2031,USR-5043,17.5571,83.303,2026-08-29,Low Catch,Cuttlefish (Sepia pharaonis),Strong currents made trawling difficult today.
REP-2026-2032,USR-5036,12.753,74.599,2026-08-29,High Catch,Yellowfin Tuna (Thunnus albacares),"Water was unusually warm, fish found deeper."
REP-2026-2033,USR-5017,18.8704,72.6281,2026-09-01,High Catch,Kingfish / Surmai (Scomberomorus commerson),High wave activity; returned early to harbor.
REP-2026-2034,USR-5017,18.922,72.6443,2026-08-24,Low Catch,Cuttlefish (Sepia pharaonis),Heavy sardine catch using purse seine.
REP-2026-2035,USR-5042,17.5212,83.4484,2026-09-07,Low Catch,Oil Sardine (Sardinella longiceps),"Water was unusually warm, fish found deeper."
REP-2026-2036,USR-5031,17.5096,83.3357,2026-09-07,High Catch,Prawns / Shrimp (Penaeus monodon),Spotted large school near thermal boundary.
REP-2026-2037,USR-5047,18.755,72.7282,2026-08-31,High Catch,Cuttlefish (Sepia pharaonis),Heavy sardine catch using purse seine.
REP-2026-2038,USR-5021,9.9984,76.0541,2026-09-04,Moderate Catch,Indian Mackerel (Rastrelliger kanagurta),High wave activity; returned early to harbor.
REP-2026-2039,USR-5006,17.5846,83.3265,2026-08-24,Low Catch,Cuttlefish (Sepia pharaonis),Strong currents made trawling difficult today.
REP-2026-2040,USR-5042,9.9765,76.1548,2026-08-27,Moderate Catch,Yellowfin Tuna (Thunnus albacares),Heavy sardine catch using purse seine.
